date,tvl,asset_type
2022-03-28 00:00:00,6096784.142,non-ITS
2022-03-28 00:00:00,0.0,ITS
2022-03-29 00:00:00,6098999.424,non-ITS
2022-03-29 00:00:00,0.0,ITS
2022-03-30 00:00:00,6106956.213,non-ITS
2022-03-30 00:00:00,0.0,ITS
2022-03-31 00:00:00,6113479.212,non-ITS
2022-03-31 00:00:00,0.0,ITS
2022-04-01 00:00:00,0.0,ITS
2022-04-01 00:00:00,6101636.648,non-ITS
2022-04-02 00:00:00,0.0,ITS
2022-04-02 00:00:00,6122259.778,non-ITS
2022-04-03 00:00:00,0.0,ITS
2022-04-03 00:00:00,6111643.09,non-ITS
2022-04-04 00:00:00,0.0,ITS
2022-04-04 00:00:00,6111594.335,non-ITS
2022-04-05 00:00:00,0.0,ITS
2022-04-05 00:00:00,6108542.244,non-ITS
2022-04-06 00:00:00,0.0,ITS
2022-04-06 00:00:00,6099320.903,non-ITS
2022-04-07 00:00:00,6104749.193,non-ITS
2022-04-07 00:00:00,0.0,ITS
2022-04-08 00:00:00,0.0,ITS
2022-04-08 00:00:00,6118763.998,non-ITS
2022-04-09 00:00:00,6110530.273,non-ITS
2022-04-09 00:00:00,0.0,ITS
2022-04-10 00:00:00,6106564.338,non-ITS
2022-04-10 00:00:00,0.0,ITS
2022-04-11 00:00:00,0.0,ITS
2022-04-11 00:00:00,6103692.441,non-ITS
2022-04-12 00:00:00,0.0,ITS
2022-04-12 00:00:00,6100834.052,non-ITS
2022-04-13 00:00:00,0.0,ITS
2022-04-13 00:00:00,6142511.907,non-ITS
2022-04-14 00:00:00,6150716.632,non-ITS
2022-04-14 00:00:00,0.0,ITS
2022-04-15 00:00:00,0.0,ITS
2022-04-15 00:00:00,9173386.131,non-ITS
2022-04-16 00:00:00,9827662.872,non-ITS
2022-04-16 00:00:00,0.0,ITS
2022-04-17 00:00:00,0.0,ITS
2022-04-17 00:00:00,13070192.48,non-ITS
2022-04-18 00:00:00,14694252.96,non-ITS
2022-04-18 00:00:00,0.0,ITS
2022-04-19 00:00:00,0.0,ITS
2022-04-19 00:00:00,22280140.23,non-ITS
2022-04-20 00:00:00,0.0,ITS
2022-04-20 00:00:00,48827826.63,non-ITS
2022-04-21 00:00:00,0.0,ITS
2022-04-21 00:00:00,86626516.67,non-ITS
2022-04-22 00:00:00,80551109.47,non-ITS
2022-04-22 00:00:00,0.0,ITS
2022-04-23 00:00:00,0.0,ITS
2022-04-23 00:00:00,71576334.66,non-ITS
2022-04-24 00:00:00,0.0,ITS
2022-04-24 00:00:00,70715014.22,non-ITS
2022-04-25 00:00:00,0.0,ITS
2022-04-25 00:00:00,67564731.79,non-ITS
2022-04-26 00:00:00,67840648.13,non-ITS
2022-04-26 00:00:00,0.0,ITS
2022-04-27 00:00:00,0.0,ITS
2022-04-27 00:00:00,67350632.8,non-ITS
2022-04-28 00:00:00,0.0,ITS
2022-04-28 00:00:00,65882082.37,non-ITS
2022-04-29 00:00:00,63673175.4,non-ITS
2022-04-29 00:00:00,0.0,ITS
2022-04-30 00:00:00,60637401.23,non-ITS
2022-04-30 00:00:00,0.0,ITS
2022-05-01 00:00:00,0.0,ITS
2022-05-01 00:00:00,58304619.56,non-ITS
2022-05-02 00:00:00,57322258.65,non-ITS
2022-05-02 00:00:00,0.0,ITS
2022-05-03 00:00:00,0.0,ITS
2022-05-03 00:00:00,61355711.56,non-ITS
2022-05-04 00:00:00,66932256.65,non-ITS
2022-05-04 00:00:00,0.0,ITS
2022-05-05 00:00:00,0.0,ITS
